bc_combination,correlation,raw_p_value,fdr_adjusted_p,bonf_adjusted_p,significant_fdr,significant_bonferroni,robust_finding
"AF, CQ, EC",0.3020349287219859,0.0010360562074436682,0.051934795760117704,0.060091260031732756,False,False,False
"FA, GI, OQ",0.28815584638883845,0.0017908550262109553,0.051934795760117704,0.10386959152023541,False,False,False
"CQ, FA, GI",0.22691553850659127,0.014739551887287535,0.28496466982089236,0.854894009462677,False,False,False
"AF, CQ, FI, SR, ST, SU",-0.20251732540068346,0.02996325960071016,0.3064546447899697,1.0,False,False,False
"AF, CQ, EC, FI, SR, ST, SU",0.20180295431140166,0.030559852692260196,0.3064546447899697,1.0,False,False,False
"CQ, CR, FI, SR, ST, SU",0.2004674340237877,0.03170220463344514,0.3064546447899697,1.0,False,False,False
"AF, OQ",0.18247136809704556,0.05095834210296434,0.42222626313884737,1.0,False,False,False
"CQ, SR, SU",-0.15737320086194553,0.0930182476805188,0.6551757114533158,1.0,False,False,False
"AF, CQ, FA",0.15340648965294576,0.10166519660482486,0.6551757114533158,1.0,False,False,False
"AF, CQ",-0.1482223597072139,0.11390340836909452,0.6606397685407481,1.0,False,False,False
"CQ, OQ, SU",-0.11256278443987441,0.23102395202802556,0.9632856635510139,1.0,False,False,False
"AF, OQ, SR",0.10966189726239453,0.24334434528470603,0.9632856635510139,1.0,False,False,False
"AF, CQ, EC, SU",-0.10111900581492893,0.2822434197688616,0.9632856635510139,1.0,False,False,False
"AF, CQ, SR, ST, SU",-0.09414924217730601,0.31690720427032204,0.9632856635510139,1.0,False,False,False
"AF, CQ, FA, GI",0.0914125969959293,0.3312406014438806,0.9632856635510139,1.0,False,False,False
"CQ, SU",0.09047123515991588,0.33626519474739036,0.9632856635510139,1.0,False,False,False
"AF, FI, OQ",0.08998618044837757,0.3388730013886277,0.9632856635510139,1.0,False,False,False
"AF, CQ, GI",0.08998618044837754,0.3388730013886277,0.9632856635510139,1.0,False,False,False
"FI, OQ",-0.08229200822513819,0.3819401294150468,0.9632856635510139,1.0,False,False,False
"CR, OQ",0.07730001241943234,0.4115755485991432,0.9632856635510139,1.0,False,False,False
"AF, CQ, SU",-0.0724129350608145,0.4418520962199218,0.9632856635510139,1.0,False,False,False
"AF, CR, OQ, SU",0.07192691187430958,0.4449303537741458,0.9632856635510139,1.0,False,False,False
"AF, CR, OQ",0.06875205224359696,0.46533283332533176,0.9632856635510139,1.0,False,False,False
"CQ, SR",0.06731044888994715,0.47476359787311195,0.9632856635510139,1.0,False,False,False
"AF, EC, FI, SR, ST, SU",-0.06696704375031351,0.47702527717223214,0.9632856635510139,1.0,False,False,False
"CQ, FI, OQ",-0.05782968738332066,0.5392856202415282,0.9632856635510139,1.0,False,False,False
"AF, CQ, CR, OQ",0.05068539317588695,0.5906126402771493,0.9632856635510139,1.0,False,False,False
"AF, GI, OQ",0.04849445833012414,0.6067857623019618,0.9632856635510139,1.0,False,False,False
"AF, CQ, CR",0.04593634554083512,0.6259122296780747,0.9632856635510139,1.0,False,False,False
"CQ, CR, SU",0.04443857435999793,0.6372282400622208,0.9632856635510139,1.0,False,False,False
"OQ, SR, SU",0.040960246923818666,0.6638283326089865,0.9632856635510139,1.0,False,False,False
"AF, CQ, OQ",0.038146711896098355,0.6856565824367004,0.9632856635510139,1.0,False,False,False
"FA, OQ",-0.0378718273038131,0.6878035295565623,0.9632856635510139,1.0,False,False,False
"CQ, EC, SU",0.03731772833646185,0.6921387811866768,0.9632856635510139,1.0,False,False,False
"AF, CQ, CR, FI, SR, ST, SU",-0.03566749890155001,0.7051087233369576,0.9632856635510139,1.0,False,False,False
"CQ, GI",-0.035667498901549965,0.7051087233369576,0.9632856635510139,1.0,False,False,False
"CQ, FA",-0.03469848675199777,0.7127645381521698,0.9632856635510139,1.0,False,False,False
"AF, OQ, RF",-0.034069692708009414,0.7177477893608942,0.9632856635510139,1.0,False,False,False
"AF, CQ, SR",0.03280027512326159,0.7278440365926614,0.9632856635510139,1.0,False,False,False
"EC, OQ, SU",-0.031900638739233544,0.7350276908809747,0.9632856635510139,1.0,False,False,False
"CQ, FI, SR, ST, SU",-0.031900638739233524,0.7350276908809747,0.9632856635510139,1.0,False,False,False
"CR, OQ, SR",0.029852061587817225,0.7514703999607458,0.9632856635510139,1.0,False,False,False
"OQ, SU",-0.02935541405653502,0.7554738399107832,0.9632856635510139,1.0,False,False,False
"ADP, FA, GI, OQ",-0.027372133563752822,0.7715246280273145,0.9632856635510139,1.0,False,False,False
"CR, OQ, SU",-0.02636311970042281,0.7797282939586119,0.9632856635510139,1.0,False,False,False
"CQ, CR, SR",0.019697891665204078,0.8344880448212133,0.9632856635510139,1.0,False,False,False
"OQ, SR",0.019076761556672,0.8396360493036503,0.9632856635510139,1.0,False,False,False
"AF, EC, OQ",0.01633201139810414,0.8624631314960899,0.9632856635510139,1.0,False,False,False
"AF, SU",-0.014079275882190791,0.8812842365025609,0.9632856635510139,1.0,False,False,False
"CR, OQ, SR, SU",-0.014079275882190767,0.8812842365025609,0.9632856635510139,1.0,False,False,False
"CQ, OQ, SR",-0.007574678470472445,0.9359643421930142,0.9632856635510139,1.0,False,False,False
"AF, CQ, FI, SR, ST",0.007508947137168479,0.9365188656073874,0.9632856635510139,1.0,False,False,False
"ADP, CQ, FA, GI",0.0075089471371684756,0.9365188656073874,0.9632856635510139,1.0,False,False,False
"CQ, SR, ST",0.007508947137168444,0.9365188656073874,0.9632856635510139,1.0,False,False,False
"FI, OQ, SU",0.006984290470683036,0.9409460471303414,0.9632856635510139,1.0,False,False,False
"AF, OQ, SU",0.006725474174261086,0.9431306742627058,0.9632856635510139,1.0,False,False,False
"AF, CQ, CR, SU",0.006305406502871518,0.9466772900415136,0.9632856635510139,1.0,False,False,False
"CQ, CR",-0.00019697381832971522,0.9983330343170012,0.9983330343170012,1.0,False,False,False
